"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","529","Нажатие на Самокат переводит на главную страницу","tests","Sun Apr 20 17:49:12 MSK 2025","passed","Sun Apr 20 17:49:13 MSK 2025","TestUrl","test_url","",""
"","6187","тест на заказ самоката с двумя наборами данных","tests","Sun Apr 20 17:46:36 MSK 2025","passed","Sun Apr 20 17:46:42 MSK 2025","TestOrder","test_order","",""
"","325","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:47:33 MSK 2025","passed","Sun Apr 20 17:47:33 MSK 2025","TestCheckTextAnswer","test_questions","",""
"","926","обе кнопки Заказ переходят на страницу заказа","tests","Sun Apr 20 17:47:04 MSK 2025","passed","Sun Apr 20 17:47:05 MSK 2025","TestOrder","test_order","",""
"","368","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:48:58 MSK 2025","passed","Sun Apr 20 17:48:58 MSK 2025","TestCheckTextAnswer","test_questions","",""
"","5146","Нажатие на Яндекс переводит на страницу Dzen","tests","Sun Apr 20 17:49:26 MSK 2025","passed","Sun Apr 20 17:49:32 MSK 2025","TestUrl","test_url","",""
"","6240","тест на заказ самоката с двумя наборами данных","tests","Sun Apr 20 17:46:16 MSK 2025","passed","Sun Apr 20 17:46:22 MSK 2025","TestOrder","test_order","",""
"","351","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:47:19 MSK 2025","passed","Sun Apr 20 17:47:19 MSK 2025","TestCheckTextAnswer","test_questions","",""
"","431","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:48:29 MSK 2025","passed","Sun Apr 20 17:48:29 MSK 2025","TestCheckTextAnswer","test_questions","",""
"","339","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:48:15 MSK 2025","passed","Sun Apr 20 17:48:15 MSK 2025","TestCheckTextAnswer","test_questions","",""
"","356","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:47:46 MSK 2025","passed","Sun Apr 20 17:47:47 MSK 2025","TestCheckTextAnswer","test_questions","",""
"","405","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:48:44 MSK 2025","passed","Sun Apr 20 17:48:44 MSK 2025","TestCheckTextAnswer","test_questions","",""
"","361","тест на проверку появления и соответствия текста ответа на вопрос","tests","Sun Apr 20 17:48:01 MSK 2025","passed","Sun Apr 20 17:48:01 MSK 2025","TestCheckTextAnswer","test_questions","",""
